ID,order_ID,item_ID,quantity,subtotal
b2000001-0000-0000-0000-000000000001,a1000001-0000-0000-0000-000000000001,b1a2c3d4-0002-0000-0000-000000000002,1,8.50
b2000001-0000-0000-0000-000000000002,a1000001-0000-0000-0000-000000000001,b1a2c3d4-0004-0000-0000-000000000004,1,3.50
b2000001-0000-0000-0000-000000000003,a1000001-0000-0000-0000-000000000001,b1a2c3d4-0008-0000-0000-000000000008,1,1.50
b2000001-0000-0000-0000-000000000004,a1000001-0000-0000-0000-000000000001,b1a2c3d4-0006-0000-0000-000000000006,1,3.00
b2000001-0000-0000-0000-000000000005,a1000001-0000-0000-0000-000000000002,b1a2c3d4-0001-0000-0000-000000000001,1,7.90
b2000001-0000-0000-0000-000000000006,a1000001-0000-0000-0000-000000000002,b1a2c3d4-0004-0000-0000-000000000004,1,3.50
b2000001-0000-0000-0000-000000000007,a1000001-0000-0000-0000-000000000002,b1a2c3d4-0008-0000-0000-000000000008,1,1.50
b2000001-0000-0000-0000-000000000008,a1000001-0000-0000-0000-000000000003,b1a2c3d4-0003-0000-0000-000000000003,1,9.20
b2000001-0000-0000-0000-000000000009,a1000001-0000-0000-0000-000000000003,b1a2c3d4-0008-0000-0000-000000000008,1,1.50
b2000001-0000-0000-0000-000000000010,a1000001-0000-0000-0000-000000000004,b1a2c3d4-0002-0000-0000-000000000002,1,8.50
b2000001-0000-0000-0000-000000000011,a1000001-0000-0000-0000-000000000005,b1a2c3d4-0001-0000-0000-000000000001,1,7.90
b2000001-0000-0000-0000-000000000012,a1000001-0000-0000-0000-000000000006,b1a2c3d4-0002-0000-0000-000000000002,1,8.50
b2000001-0000-0000-0000-000000000013,a1000001-0000-0000-0000-000000000007,b1a2c3d4-0002-0000-0000-000000000002,1,8.50
b2000001-0000-0000-0000-000000000014,a1000001-0000-0000-0000-000000000008,b1a2c3d4-0002-0000-0000-000000000002,1,8.50
b2000001-0000-0000-0000-000000000015,a1000001-0000-0000-0000-000000000009,b1a2c3d4-0005-0000-0000-000000000005,1,4.00
b2000001-0000-0000-0000-000000000016,a1000001-0000-0000-0000-000000000010,b1a2c3d4-0002-0000-0000-000000000002,1,8.50
b2000001-0000-0000-0000-000000000017,a1000001-0000-0000-0000-000000000011,b1a2c3d4-0002-0000-0000-000000000002,1,8.50
b2000001-0000-0000-0000-000000000018,a1000001-0000-0000-0000-000000000012,b1a2c3d4-0001-0000-0000-000000000001,1,7.90
